9820.102495268919 --- ('artykuł', 'brev') ('koło', 'brev')
182.70735325664282 --- ('zebrać', 'ppas') ('materiał', 'subst')
182.54446987435222 --- ('sprawozdanie', 'subst') ('finansowy', 'adj')
182.3787635602057 --- ('sąd', 'subst') ('odwoławczy', 'adj')
182.34279472846538 --- ('nadzór', 'subst') ('nad', 'prep')
182.0282055810094 --- ('powództwo', 'subst') ('o', 'prep')
181.9129594275728 --- ('móc', 'fin') ('żądać', 'inf')
181.9128658985719 --- ('wydział', 'subst') ('karny', 'adj')
181.7380450051278 --- ('oddalać', 'fin') ('apelacja', 'subst')
181.67922613210976 --- ('o', 'prep') ('prawo', 'subst')
181.32130388449878 --- ('osobowy', 'adj') ('marka', 'subst')
181.15174361504614 --- ('świadczyć', 'fin') ('o', 'prep')
180.2649848703295 --- ('orzec', 'praet') ('jak', 'adv')
180.24470615107566 --- ('wymienić', 'ppas') ('w', 'prep')
180.09996307827532 --- ('pozostały', 'adj') ('część', 'subst')
180.0882660727948 --- ('złożyć', 'ger') ('wniosek', 'subst')
180.0728052314371 --- ('profesjonalny', 'adj') ('pełnomocnik', 'subst')
179.97750022355467 --- ('on', 'ppron3') ('wykonać', 'ger')
179.86253329832107 --- ('zasada', 'subst') ('swobodny', 'adj')
179.78299606777728 --- ('móc', 'fin') ('stanowić', 'inf')
179.72220306657255 --- ('przemieszczać', 'ger') ('doręczać', 'ger')
179.54892344214022 --- ('odprowadzać', 'ger') ('ściek', 'subst')
179.35921487025917 --- ('dzień', 'subst') ('rok', 'brev')
179.14839961659163 --- ('przewodniczący', 'subst') ('sso', 'subst')
179.04574901610613 --- ('wskazywać', 'pact') ('na', 'prep')
178.9674825090915 --- ('apelacyjny', 'adj') ('w', 'prep')
178.88389629404992 --- ('na', 'prep') ('on', 'ppron3')
178.88054429460317 --- ('dziennik', 'subst') ('budowa', 'subst')
178.34509323444217 --- ('tok', 'subst') ('proces', 'subst')
178.31405893154442 --- ('służebność', 'subst') ('gruntowy', 'adj')
178.2913108319044 --- ('do', 'prep') ('na', 'prep')
178.24236285500228 --- ('do', 'prep') ('emerytura', 'subst')
178.2330545997247 --- ('ulica', 'brev') ('koło', 'brev')
178.18988613411784 --- ('artykuł', 'brev') ('pr', 'brev')
178.18641722388566 --- ('zarzucać', 'ppas') ('on', 'ppron3')
178.0337151037529 --- ('zostać', 'praet') ('uwzględnić', 'ppas')
177.96234411373734 --- ('mieć', 'pcon') ('powyższy', 'adj')
177.66226531472057 --- ('około', 'prep') ('tysiąc', 'subst')
177.31405085884035 --- ('s', 'brev') ('d', 'brev')
177.28131405077875 --- ('wymiar', 'subst') ('kara', 'subst')
177.06809063907713 --- ('tom', 'brev') ('iii', 'adj')
176.9427237417549 --- ('krajowy', 'adj') ('rejestr', 'subst')
176.81682707555592 --- ('za', 'prep') ('winny', 'adj')
176.74976189807057 --- ('nieszczęśliwy', 'adj') ('wypadek', 'subst')
176.64154977351427 --- ('postępowanie', 'subst') ('sądowy', 'adj')
176.59626344870776 --- ('spełnić', 'ger') ('warunek', 'subst')
176.49813085235655 --- ('pod', 'prep') ('nazwa', 'subst')
176.38111343514174 --- ('artykuł', 'brev') ('z', 'prep')
176.2725790962577 --- ('prawo', 'subst') ('procesowy', 'adj')
176.23264227434993 --- ('sso', 'subst') ('grzegorz', 'subst')
176.15059677604586 --- ('popełnić', 'ger') ('czyn', 'subst')
176.01624684780836 --- ('kc', 'subst') ('sygnatura', 'brev')
176.00867652334273 --- ('przedmiot', 'subst') ('spór', 'subst')
175.82141502853483 --- ('spółka', 'subst') ('spółka', 'brev')
175.78872771188617 --- ('wykonać', 'ger') ('zobowiązanie', 'subst')
175.77299865987152 --- ('wezwanie', 'subst') ('do', 'prep')
175.75870334450155 --- ('udzielić', 'ppas') ('przez', 'prep')
175.74288201984018 --- ('miesiąc', 'subst') ('pozbawić', 'ger')
175.28803989756852 --- ('szkoda', 'subst') ('wyrządzić', 'ppas')
175.28119409270585 --- ('przestępstwo', 'subst') ('z', 'prep')
174.8473445707932 --- ('orzec', 'ger') ('zakaz', 'subst')
174.28451069351286 --- ('sieć', 'subst') ('telefoniczny', 'adj')
173.82453805953264 --- ('w', 'prep') ('pełny', 'adj')
173.71285565849394 --- ('bezskuteczny', 'adj') ('czynność', 'subst')
173.61899943929166 --- ('usprawiedliwić', 'ppas') ('potrzeba', 'subst')
173.55715857166797 --- ('niski', 'adj') ('cena', 'subst')
173.44626560714096 --- ('znajdować', 'fin') ('potwierdzenie', 'subst')
173.43830913770944 --- ('rozprawa', 'subst') ('w', 'prep')
173.00610856339335 --- ('przewodniczący', 'subst') ('ssn', 'subst')
172.8261302979663 --- ('o', 'prep') ('zasądzić', 'ger')
172.5861792769283 --- ('czyn', 'subst') ('niedozwolony', 'adj')
172.58018725551665 --- ('być', 'praet') ('kwestionować', 'ppas')
172.36741087026894 --- ('na', 'prep') ('posiedzenie', 'subst')
172.27185853663832 --- ('wydać', 'ger') ('wyrok', 'subst')
171.90416100341827 --- ('przyjmować', 'ger') ('przemieszczać', 'ger')
171.87362172920257 --- ('adwokacki', 'adj') ('ponosić', 'ger')
171.66187888849527 --- ('z', 'prep') ('warunkowy', 'adj')
171.63708852231503 --- ('artykuł', 'brev') ('kk', 'subst')
171.53849715087563 --- ('spółka', 'subst') ('córka', 'subst')
171.53477921523154 --- ('akt', 'subst') ('v', 'subst')
171.2161299129948 --- ('iv', 'adj') ('u', 'subst')
171.179133515805 --- ('stanowić', 'inf') ('podstawa', 'subst')
171.1654580309987 --- ('punkt', 'brev') ('ii', 'adj')
171.16134768072516 --- ('ten', 'adj') ('w', 'prep')
171.02942486852407 --- ('odszkodować', 'ger') ('za', 'prep')
170.9195036366582 --- ('tak', 'adv') ('jak', 'adv')
170.8795714499429 --- ('właściwy', 'adj') ('usunięcie', 'subst')
170.85615170188248 --- ('istotny', 'adj') ('dla', 'prep')
170.78323834203184 --- ('substancja', 'subst') ('łatwopalny', 'adj')
170.59998687263578 --- ('ustalenie', 'subst') ('sąd', 'subst')
170.40622269455343 --- ('ustanowić', 'ppas') ('z', 'prep')
170.31207705195993 --- ('poszkodowany', 'subst') ('dowiedzieć', 'praet')
170.23782288189977 --- ('dowodowy', 'adj') ('zgromadzić', 'ppas')
170.08060094621032 --- ('osoba', 'subst') ('prowadzić', 'pact')
169.86464281752706 --- ('w', 'prep') ('uzasadnienie', 'subst')
169.78159325383604 --- ('przez', 'prep') ('powódka', 'subst')
169.73627665732056 --- ('ochrona', 'subst') ('roślina', 'subst')
169.71384332422167 --- ('pod', 'prep') ('rygor', 'subst')
169.673719458282 --- ('sieć', 'subst') ('wodociągowy', 'adj')
169.5401978418231 --- ('o', 'prep') ('numer', 'subst')
169.42900915723294 --- ('j', 'brev') ('b', 'brev')
169.26597227714956 --- ('punkt', 'subst') ('i', 'adj')
169.23181666899472 --- ('móc', 'fin') ('mieć', 'inf')
168.92307254299521 --- ('nieruchomość', 'subst') ('wspólny', 'adj')
168.60309745557606 --- ('przez', 'prep') ('z', 'prep')
168.44016431458294 --- ('rozprawa', 'subst') ('sprawa', 'subst')
168.40824972465634 --- ('udostępnić', 'ger') ('zasób', 'subst')
168.00042808335274 --- ('ciało', 'subst') ('rozstrój', 'subst')
167.98111981432885 --- ('mieć', 'inf') ('wpływ', 'subst')
167.93997968360782 --- ('fundusz', 'subst') ('gwarancyjny', 'adj')
167.8992075957358 --- ('dwa', 'num') ('tysiąc', 'subst')
167.83990406338125 --- ('obowiązek', 'subst') ('wynikać', 'pact')
167.83201045170426 --- ('każdy', 'adj') ('z', 'prep')
167.65017769299448 --- ('tekst', 'subst') ('dziennik', 'brev')
167.47548704128712 --- ('w', 'prep') ('forma', 'subst')
167.27875517029315 --- ('przedłużyć', 'ger') ('termin', 'subst')
167.19877564627677 --- ('zapłata', 'subst') ('wynagrodzenie', 'subst')
167.19777996651828 --- ('wynieść', 'praet') ('złoty', 'brev')
167.01542737334967 --- ('ii', 'adj') ('pk', 'subst')
167.01409953273833 --- ('roszczenie', 'subst') ('powód', 'subst')
166.97946119681 --- ('ssn', 'subst') ('jan', 'subst')
166.92816942371428 --- ('niezbędny', 'adj') ('do', 'prep')
166.49198421742767 --- ('opłata', 'subst') ('skarbowy', 'adj')
166.2886245548725 --- ('prezes', 'subst') ('krajowy', 'adj')
166.13033294584602 --- ('ii', 'adj') ('instancja', 'subst')
166.11358265019953 --- ('wysoki', 'adj') ('zważyć', 'praet')
165.6157950051129 --- ('wyrazić', 'ppas') ('w', 'prep')
165.2849091719836 --- ('dyspozycja', 'subst') ('artykuł', 'brev')
165.22644121013582 --- ('punkt', 'subst') ('apelacja', 'subst')
165.18011786974967 --- ('zero', 'subst') ('grosz', 'subst')
165.05867524258792 --- ('znajdować', 'pact') ('w', 'prep')
164.97256797272712 --- ('ii', 'adj') ('zasądzać', 'fin')
164.30669381283224 --- ('wyodrębnić', 'ppas') ('organizacyjnie', 'adv')
164.2221860224381 --- ('jedn', 'brev') ('tekst', 'subst')
164.22127053700387 --- ('wprowadzić', 'ppas') ('cennik', 'subst')
164.15373409260064 --- ('ii', 'adj') ('k', 'brev')
164.07860810589045 --- ('udzielić', 'ger') ('zamówienie', 'subst')
163.9811811381951 --- ('środek', 'subst') ('czystość', 'subst')
163.94483135920018 --- ('zawierać', 'ger') ('umowa', 'subst')
163.86653570085764 --- ('dolegliwość', 'subst') ('bólowy', 'adj')
163.55837318580598 --- ('pozycja', 'subst') ('kosztorys', 'subst')
163.30773022491485 --- ('do', 'prep') ('praca', 'subst')
163.23865793831646 --- ('zarząd', 'subst') ('spółka', 'subst')
163.03970022592694 --- ('natychmiastowy', 'adj') ('wykonalność', 'subst')
162.99543910473585 --- ('zgromadzić', 'ppas') ('materiał', 'subst')
162.92300021462142 --- ('ten', 'adj') ('rodzaj', 'subst')
162.8900859793648 --- ('rozpoznać', 'ger') ('w', 'prep')
162.86829340085387 --- ('ssn', 'subst') ('iwona', 'subst')
162.68918195180595 --- ('dowiedzieć', 'praet') ('o', 'prep')
162.63418276794255 --- ('sekr', 'brev') ('sądowy', 'adj')
162.27581116743386 --- ('gorzów', 'subst') ('wielkopolski', 'adj')
162.1471742549911 --- ('sygnatura', 'subst') ('akta', 'subst')
162.052363676019 --- ('umowa', 'subst') ('sprzedaż', 'subst')
161.8167280005291 --- ('prawo', 'subst') ('obowiązek', 'subst')
161.76402707211673 --- ('rozkład', 'subst') ('ciężar', 'subst')
161.71657187212259 --- ('obowiązkowy', 'adj') ('ubezpieczenie', 'subst')
161.34432090260088 --- ('samochód', 'subst') ('marka', 'subst')
161.3126763124019 --- ('r', 'brev') ('p', 'brev')
161.21500787045807 --- ('rzecz', 'subst') ('skarb', 'subst')
161.078531938605 --- ('być', 'praet') ('zatrudnić', 'ppas')
161.02234592381865 --- ('c', 'brev') ('acutatum', 'subst')
160.93188101798296 --- ('bez', 'prep') ('znaczenie', 'subst')
160.81766814924777 --- ('csk', 'subst') ('niepubl', 'brev')
160.77607409935445 --- ('rozwiązanie', 'subst') ('umowa', 'subst')
160.58504235278815 --- ('który', 'adj') ('być', 'praet')
160.43554670270532 --- ('protokół', 'subst') ('oględziny', 'subst')
160.40843469183892 --- ('indywidualny', 'adj') ('zbierać', 'ger')
160.40132121089846 --- ('tarnowski', 'adj') ('góra', 'subst')
160.36582430265844 --- ('inny', 'adj') ('osoba', 'subst')
160.34901638887823 --- ('ustęp', 'brev') ('u', 'prep')
160.29543233662844 --- ('równy', 'adj') ('traktować', 'ger')
160.28271453641355 --- ('zapłata', 'subst') ('kwota', 'subst')
